"numbers","solutions","solvable","amt","solved_rate","mean_time","std_time"
"[1,2,2,10]","['(10-2)×(2+1)','(10+2)×2×1','(10+1)×2+2']",true,5.73,0.965,6.11,2.16
"[1,2,2,11]","['(11+2-1)×2','(11×2+2)×1']",true,7.03,0.972,7.57,2.96
"[1,2,2,12]","['(2-1)×12×2','(12+1)×2-2','(12-1)×2+2','(2/2+1)×12']",true,5.74,0.978,6.12,2
"[1,2,2,13]","['(13+1-2)×2','(13×2-2)×1']",true,7.2,0.9670000000000001,7.73,3.12
"[1,2,3,3]","['(3+1)×3×2']",true,8.59,0.956,8.97,2.99
"[1,2,3,4]","['(3+2+1)×4','4×3×2×1','(4+2)×(3+1)']",true,5.16,0.992,5.51,1.83
"[1,2,3,5]","['(5+3)×(2+1)','(5+2+1)×3','(5-1)×3×2','(3+2)×5-1']",true,7.12,0.955,7.45,2.41
"[1,2,3,6]","['(3+2-1)×6','(6+2)×3×1','(3-1)×6×2']",true,6.68,0.971,7.13,2.42
"[1,2,3,7]","['7×3+2+1','(2+1)×7+3','(7+2-1)×3']",true,7.52,0.9620000000000001,8.23,3.24
"[1,2,3,8]","['(2-1)×8×3','(8-2)×(3+1)','(8+3+1)×2','8/(1-2/3)']",true,6.23,0.971,6.68,2.42
"[1,2,3,9]","['9×3-2-1','(2+1)×9-3','(9+3)×2×1','(9+1-2)×3']",true,7.56,0.965,8.14,3.18
"[1,2,3,10]","['10×2+3+1','(10-2)×3×1','(10+3-1)×2','(10+2)×(3-1)']",true,6.17,0.983,6.49,1.99
"[1,2,3,11]","['(11-3)×(2+1)','(11-2-1)×3','11×2+3-1','(3-1)×11+2']",true,8.77,0.9570000000000001,9.13,3.4
"[1,2,3,12]","['(3+1-2)×12','(3+1)×12/2','12/(3/2-1)']",true,6.35,0.9620000000000001,6.88,2.56
"[1,2,3,13]","['13×2+1-3','(3-1)×13-2']",true,10.8,0.915,11.16,4.86
"[1,2,4,4]","['(4+4)×(2+1)','(4+2)×4×1','(4-1)×4×2']",true,6,0.971,6.36,2.12
"[1,2,4,5]","['(5+2-1)×4','(4+2)×(5-1)']",true,9.09,0.905,9.44,4.21
"[1,2,4,6]","['(2-1)×6×4','(6+2)×(4-1)']",true,6.5,0.96,6.92,2.54
"[1,2,4,7]","['(7+1-2)×4','(7+4+1)×2']",true,10.41,0.8909999999999999,10.73,5.06
"[1,2,4,8]","['(8+4)×2×1','(4+1-2)×8','(8-2)×4×1','(4/2+1)×8']",true,6.18,0.966,6.6,2.38
"[1,2,4,9]","['(9-2-1)×4','(9+4-1)×2','(9+1)×2+4']",true,9.12,0.91,9.56,4.03
"[1,2,4,10]","['(10-2)×(4-1)','(10×2+4)×1','(10/2+1)×4']",true,7.34,0.963,7.79,3.18
"[1,2,4,11]","['(11+1)×(4-2)','(11+1)×4/2','(11-1)×2+4']",true,7.77,0.92,8.01,2.8
"[1,2,4,12]","['(12-4)×(2+1)','(2+1)×4+12','12×4×1/2','(4-2)×12×1','12/(1-2/4)']",true,5.18,0.976,5.61,2
"[1,2,4,13]","['(13+1)×2-4','(13-1)×(4-2)','(13-1)×4/2']",true,7.59,0.9390000000000001,7.94,2.98
"[1,2,5,5]","['5×5+1-2']",true,6.72,0.951,7.25,2.96
"[1,2,5,6]","['(5+1-2)×6','(5+1)×(6-2)','(6+5+1)×2']",true,6.74,0.9440000000000001,7.24,2.8
"[1,2,5,7]","['(7+5)×2×1','(7+1)×(5-2)','(7-2)×5-1']",true,6.84,0.9520000000000001,7.17,2.64
"[1,2,5,8]","['(5+1)×8/2','(8+5-1)×2','(8-2)×(5-1)','(5-2)×8×1']",true,5.55,0.958,5.97,2.24
"[1,2,5,9]","['(2+1)×5+9','9×2+5+1','(9-1)×(5-2)']",true,8.07,0.9520000000000001,8.5,3.07
"[1,2,5,10]","['10×2+5-1','10×5/2-1']",true,10.06,0.9179999999999999,10.31,4.12
"[1,2,5,12]","['(5-2-1)×12','(5+1)×2+12','(5-1)×12/2']",true,5.72,0.955,6.15,2.2
"[1,2,5,13]","['(13-5)×(2+1)','5×2+13+1']",true,8.7,0.9440000000000001,9.2,3.61
"[1,2,6,6]","['(2+1)×6+6','(6+6)×2×1','(6-2)×6×1','(6/2+1)×6']",true,5.99,0.976,6.43,2.22
"[1,2,6,7]","['(7-2-1)×6','(7+6-1)×2','(7+1)×6/2','(7-1)×(6-2)']",true,7.09,0.955,7.48,2.61
"[1,2,6,8]","['(6-2-1)×8','8×6×1/2','(8+1)×2+6']",true,6.15,0.961,6.49,2.36
"[1,2,6,9]","['(9-1)×6/2','(9×2+6)×1']",true,7.96,0.945,8.55,3.6
"[1,2,6,10]","['(2+1)×10-6','(6+1)×2+10','(10-1)×2+6','(10/2-1)×6']",true,11.01,0.867,10.99,4.99
"[1,2,6,11]","['6×2+11+1']",true,8.96,0.898,9.36,4.29
"[1,2,6,12]","['12×6/(2+1)','(6×2+12)×1','(6/2-1)×12']",true,6.06,0.9690000000000001,6.44,2.26
"[1,2,6,13]","['6×2+13-1']",true,8.53,0.912,9.06,3.98
"[1,2,7,7]","['(7×7-1)/2']",true,34.41,0.5479999999999999,18.13,10.73
"[1,2,7,8]","['8×2+7+1','(7+1)×2+8','(7-1)×8/2']",true,8.73,0.946,9.22,3.59
"[1,2,7,9]","['9×2+7-1','7×2+9+1']",true,9.52,0.934,10.01,3.92
"[1,2,7,10]","['(7×2+10)×1']",true,7.44,0.907,8.05,4.11
"[1,2,7,11]","['7×2+11-1']",true,10.7,0.882,10.89,4.83
"[1,2,7,12]","['(7-1)×2+12']",true,12.06,0.7709999999999999,10.21,5.89
"[1,2,8,8]","['(8×2+8)×1','(8/2-1)×8']",true,6.45,0.9620000000000001,7.02,2.73
"[1,2,8,9]","['9×8/(2+1)','8×2+9-1','(9-1)×2+8']",true,8.39,0.935,8.98,3.48
"[1,2,8,10]","['(8-1)×2+10']",true,21.92,0.674,15.76,8.19
"[1,2,8,13]","['13+8+2+1']",true,10.44,0.9159999999999999,10.66,4.77
"[1,2,9,11]","['(2+1)×11-9']",true,48.09,0.44799999999999995,23.76,13.21
"[1,2,9,12]","['12+9+2+1']",true,7.85,0.927,8.43,3.84
"[1,2,9,13]","['(13+9+2)×1']",true,8.86,0.932,9.42,4.19
"[1,2,10,11]","['11+10+2+1']",true,6.35,0.976,6.71,2.4
"[1,2,10,12]","['(12+10+2)×1']",true,6.06,0.9740000000000001,6.57,2.4
"[1,2,10,13]","['13+10+2-1']",true,6.69,0.971,7.2,2.74
"[1,2,11,11]","['(11+11+2)×1']",true,5.97,0.975,6.46,2.42
"[1,2,11,12]","['12+11+2-1','2/(1-11/12)']",true,7.08,0.9690000000000001,7.75,3.19
"[1,2,11,13]","['(13+11)×(2-1)']",true,6.92,0.935,7.54,3.16
"[1,2,12,12]","['(2+1)×12-12','(12+12)×(2-1)']",true,6.39,0.961,6.73,2.22
"[1,2,12,13]","['13+12+1-2','2/(13/12-1)']",true,7.76,0.963,8.5,3.45
"[1,2,13,13]","['(13+13-2)×1']",true,6.25,0.973,6.96,2.69
"[1,3,3,3]","['(3+3)×(3+1)','(3×3-1)×3']",true,6.76,0.956,7.15,2.54
"[1,3,3,4]","['(4+3+1)×3','(3-1)×4×3','(3+3)×4×1']",true,5.62,0.976,5.87,1.77
"[1,3,3,5]","['(5+3)×3×1','(3+3)×(5-1)']",true,6.6,0.9520000000000001,6.91,2.52
"[1,3,3,6]","['(6+3-1)×3','(6+1)×3+3']",true,12.17,0.872,12.15,5.28
"[1,3,3,7]","['(7×3+3)×1']",true,6.55,0.96,7.38,3.34
"[1,3,3,8]","['(8+1)×3-3','(8-1)×3+3']",true,19.73,0.7390000000000001,16.08,7.88
"[1,3,3,9]","['(9-3)×(3+1)','(9+3)×(3-1)','(3-1/3)×9','(9×3-3)×1']",true,6.65,0.968,7.28,2.87
"[1,3,3,10]","['(10+1-3)×3','(10-1)×3-3']",true,9.05,0.9009999999999999,9.22,4.14
"[1,3,3,11]","['(11-3)×3×1']",true,10.18,0.883,10.19,4.75
"[1,3,3,12]","['(3+1)×3+12','(12-3-1)×3','(3/3+1)×12']",true,5.99,0.9540000000000001,6.39,2.35
"[1,3,4,4]","['(4+4)×3×1','(4+3-1)×4']",true,6.96,0.934,7.31,3.12
"[1,3,4,5]","['5×4+3+1','(3+1)×5+4','(5+4-1)×3','(5+3)×(4-1)']",true,7.26,0.975,7.75,2.49
"[1,3,4,6]","['6/(1-3/4)']",true,209.67,0.268,20.65,13.17
"[1,3,4,7]","['7×4-3-1','(3+1)×7-4','7×3+4-1','(4-1)×7+3']",true,8.9,0.951,9.73,3.97
"[1,3,4,8]","['(3+1)×4+8','(8+1-3)×4','(8+4)×(3-1)','8/(4/3-1)']",true,11.73,0.8959999999999999,11.94,4.83
"[1,3,4,9]","['(4+1)×3+9','(9-3)×4×1','9×3+1-4','(4-1)×9-3']",true,8.4,0.946,8.94,3.86
"[1,3,4,10]","['(10-4)×(3+1)','(10-3-1)×4','(3-1)×10+4']",true,8.65,0.9309999999999999,8.96,3.43
"[1,3,4,11]","['(11+1-4)×3','(11-3)×(4-1)','4×3+11+1']",true,7.24,0.96,7.77,2.95
"[1,3,4,12]","['(12-4)×3×1','(4+1-3)×12','12×4/(3-1)','(4×3+12)×1']",true,5.57,0.986,5.99,1.95
"[1,3,4,13]","['(13-4-1)×3','4×3+13-1']",true,8.31,0.9440000000000001,8.87,3.71
"[1,3,5,6]","['6×3+5+1','(5+1)×3+6']",true,14.96,0.866,14.63,6.03
"[1,3,5,7]","['(7+5)×(3-1)','(5+1)×(7-3)']",true,9.32,0.895,9.53,4.12
"[1,3,5,8]","['(5+1-3)×8','5×3+8+1','(8-3)×5-1']",true,6.59,0.953,7.28,2.99
"[1,3,5,9]","['(9-3)×(5-1)','(5×3+9)×1','(5/3+1)×9']",true,10.47,0.907,10.72,4.59
"[1,3,5,10]","['10×3-5-1','5×3+10-1']",true,9.18,0.932,9.66,3.84
"[1,3,5,11]","['(11-5)×(3+1)','(11+1)×(5-3)']",true,7.78,0.93,8.12,2.87
"[1,3,5,12]","['(5+1)×12/3','(12+1-5)×3','(5-1)×3+12','(5-3)×12×1']",true,5.49,0.966,5.89,2.14
"[1,3,5,13]","['(13-5)×3×1','(13-1)×(5-3)']",true,7.02,0.9440000000000001,7.44,2.72
"[1,3,6,6]","['(6+1-3)×6','(6+6)×(3-1)','(6×3+6)×1']",true,6.5,0.973,7,2.62
"[1,3,6,7]","['(7-3)×6×1','(7+1)×(6-3)','6×3+7-1','(7-1)×3+6']",true,6.98,0.963,7.38,2.79
"[1,3,6,8]","['(8-3-1)×6','8×6/(3-1)','(6-3)×8×1','(6/3+1)×8']",true,6.01,0.958,6.45,2.55
"[1,3,6,9]","['(3-1)×9+6','(6-1)×3+9','(9+1)×3-6','(9-1)×(6-3)','(9/3+1)×6']",true,8.18,0.9279999999999999,8.67,3.35
"[1,3,6,10]","['(10×3-6)×1']",true,14.21,0.82,12.61,7.01
"[1,3,6,11]","['(11+1)×6/3','(11-1)×3-6']",true,10.7,0.882,10.63,4.33
"[1,3,6,12]","['(12-6)×(3+1)','(6-3-1)×12','12×6×1/3','(3-1)×6+12','12/(1-3/6)']",true,5.92,0.968,6.33,2.22
"[1,3,6,13]","['(13+1-6)×3','(13-1)×6/3']",true,8.22,0.9209999999999999,8.49,3.18
"[1,3,7,7]","['(7-1)×(7-3)']",true,12.01,0.853,11.74,4.81
"[1,3,7,8]","['(7-3-1)×8','3/(1-7/8)']",true,7.4,0.894,7.65,3.61
"[1,3,7,9]","['(7+1)×9/3']",true,14.55,0.802,13.05,5.69
"[1,3,7,10]","['(3-1)×7+10','10×3+1-7']",true,11.36,0.863,11.38,5.4
"[1,3,7,12]","['(7-1)×12/3']",true,11.8,0.856,11.25,5.09
"[1,3,7,13]","['13+7+3+1','(13-7)×(3+1)']",true,7.11,0.9690000000000001,7.5,2.64
"[1,3,8,8]","['(3+1)×8-8','(3-1)×8+8','(8+1)×8/3']",true,9.06,0.867,9.24,4.54
"[1,3,8,9]","['9×8×1/3','3/(9/8-1)']",true,6.44,0.922,7.03,3.37
"[1,3,8,10]","['(10-1)×8/3']",true,16.72,0.7090000000000001,12.77,6.81
"[1,3,8,11]","['11×3-8-1']",true,20.99,0.735,17.35,8.43
"[1,3,8,12]","['12+8+3+1','12×8/(3+1)','(12/3-1)×8']",true,7.72,0.9670000000000001,8.22,2.9
"[1,3,8,13]","['(13+8+3)×1']",true,10.99,0.905,11.34,5.11
"[1,3,9,9]","['(9-1)×9/3']",true,10.78,0.848,10.33,4.14
"[1,3,9,10]","['(10+1)×3-9']",true,57.74,0.41100000000000003,24.03,13.23
"[1,3,9,11]","['11+9+3+1','(11×3-9)×1','(11/3-1)×9']",true,7.19,0.951,7.69,3.09
"[1,3,9,12]","['(3+1)×9-12','(12-1)×3-9','(12+9+3)×1','(9/3-1)×12']",true,6.14,0.965,6.57,2.41
"[1,3,9,13]","['13+9+3-1']",true,8.79,0.9390000000000001,9.42,4.17
"[1,3,10,10]","['10+10+3+1']",true,5.59,0.975,5.92,2.01
"[1,3,10,11]","['11×3+1-10','(11+10+3)×1']",true,7.05,0.963,7.7,3.16
"[1,3,10,12]","['12+10+3-1']",true,7.13,0.965,7.6,2.74
"[1,3,11,11]","['11+11+3-1']",true,6.29,0.972,6.7,2.44
"[1,3,11,12]","['12×3-11-1','(11+1)×3-12']",true,17.35,0.758,14.86,7.55
"[1,3,12,12]","['(12×3-12)×1']",true,8.47,0.855,8.74,4.78
"[1,3,12,13]","['12×3+1-13','(13-1)×3-12']",true,16.76,0.755,14.14,7.16
"[1,3,13,13]","['13+13+1-3']",true,6.7,0.972,7.22,2.65
"[1,4,4,4]","['(4+1)×4+4','(4+4)×(4-1)']",true,7.63,0.9590000000000001,8.1,2.98
"[1,4,4,5]","['(5×4+4)×1']",true,6.41,0.9670000000000001,6.97,2.74
"[1,4,4,6]","['(6+1)×4-4','(6-1)×4+4']",true,15.95,0.797,13.98,6.92
"[1,4,4,7]","['4×4+7+1','(7×4-4)×1']",true,6.66,0.9620000000000001,7.37,3.22
"[1,4,4,8]","['(8-1)×4-4','(4×4+8)×1']",true,10.58,0.899,10.77,5.54
"[1,4,4,9]","['(9+1-4)×4','4×4+9-1']",true,8.1,0.9420000000000001,8.59,3.56
"[1,4,4,10]","['(10-4)×4×1']",true,7.92,0.9229999999999999,8.15,3.46
"[1,4,4,11]","['(11-4-1)×4']",true,10.89,0.865,10.85,5.36
"[1,4,4,12]","['(12-4)×(4-1)','(4-1)×4+12','(4/4+1)×12']",true,5.84,0.958,6.33,2.33
"[1,4,5,5]","['5×4+5-1','(5-1)×5+4']",true,7.59,0.9590000000000001,8.09,2.79
"[1,4,5,6]","['6/(5/4-1)','4/(1-5/6)']",true,193.11,0.287,19.49,12.95
"[1,4,5,7]","['7×4+1-5','(5-1)×7-4']",true,12.8,0.879,12.72,5.32
"[1,4,5,8]","['(5+1)×(8-4)','(5-1)×4+8']",true,13.77,0.823,12.93,5.94
"[1,4,5,9]","['(4-1)×5+9','(9-4)×5-1']",true,13.19,0.8220000000000001,12.34,6.76
"[1,4,5,10]","['(10+1-5)×4','(10-4)×(5-1)']",true,8.97,0.914,9.16,3.67
"[1,4,5,11]","['(11-5)×4×1']",true,8.35,0.907,8.63,4
"[1,4,5,12]","['(5+1-4)×12','(12-5-1)×4']",true,5.96,0.9570000000000001,6.4,2.36
"[1,4,5,13]","['(13-5)×(4-1)']",true,10.38,0.88,10.57,4.63
"[1,4,6,6]","['(4+1)×6-6','(4-1)×6+6']",true,13.53,0.802,12.21,6.51
"[1,4,6,7]","['(7+1-4)×6','4/(7/6-1)']",true,8.83,0.872,9.07,4.68
"[1,4,6,8]","['(6+1-4)×8','(8-4)×6×1','8/(1-4/6)']",true,6.3,0.9490000000000001,6.68,2.56
"[1,4,6,9]","['(9-4-1)×6']",true,9.05,0.862,9,4.15
"[1,4,6,10]","['(4-1)×10-6']",true,33.87,0.556,20.04,10.17
"[1,4,6,11]","['(11+1-6)×4','(11+1)×(6-4)']",true,7.96,0.9259999999999999,8.29,3.24
"[1,4,6,12]","['(12-6)×4×1','12×6/(4-1)','(6-4)×12×1','12/(6/4-1)','(12/4+1)×6']",true,5.93,0.968,6.41,2.54
"[1,4,6,13]","['13+6+4+1','(13-6-1)×4','(13-1)×(6-4)']",true,6.58,0.977,7,2.35
"[1,4,7,7]","['(7+1)×(7-4)']",true,11.67,0.853,11.52,4.79
"[1,4,7,8]","['8×4-7-1','(7+1)×4-8','(7-1)×(8-4)','(7-4)×8×1']",true,6.25,0.966,6.78,2.73
"[1,4,7,9]","['(9-1)×(7-4)']",true,12.9,0.8190000000000001,12.06,5.16
"[1,4,7,11]","['(4+1)×7-11']",true,74.51,0.36,31.17,17.26
"[1,4,7,12]","['12+7+4+1','(7-4-1)×12','(7+1)×12/4','(12+1-7)×4']",true,5.59,0.9840000000000001,6.01,2.04
"[1,4,7,13]","['(13-7)×4×1','(13+7+4)×1']",true,6.64,0.9670000000000001,7.28,2.93
"[1,4,8,8]","['(8-4-1)×8','(8×4-8)×1','(8/4+1)×8']",true,6.31,0.9670000000000001,6.81,2.51
"[1,4,8,9]","['9×8/(4-1)','8×4+1-9','(9-1)×4-8']",true,12.08,0.89,12.17,5.22
"[1,4,8,11]","['11+8+4+1','(11+1)×8/4']",true,7.89,0.9570000000000001,8.34,2.9
"[1,4,8,12]","['12×8×1/4','(8+1)×4-12','(12+8+4)×1','12/(1-4/8)']",true,5.92,0.976,6.31,2.2
"[1,4,8,13]","['13+8+4-1','(13+1-8)×4','(13-1)×8/4']",true,6.81,0.9740000000000001,7.2,2.49
"[1,4,9,10]","['10+9+4+1']",true,8.66,0.937,9.08,3.72
"[1,4,9,11]","['(4-1)×11-9','9×4-11-1','(11+9+4)×1']",true,8.3,0.9440000000000001,8.93,3.73
"[1,4,9,12]","['12+9+4-1','(9-1)×12/4','(9×4-12)×1']",true,7.89,0.961,8.51,3.35
"[1,4,9,13]","['9×4+1-13']",true,28.97,0.61,19.64,10.47
"[1,4,10,10]","['(10+10+4)×1','10×10/4-1']",true,5.49,0.9790000000000001,5.9,2.07
"[1,4,10,11]","['11+10+4-1']",true,7.76,0.95,8.24,3.22
"[1,4,10,12]","['12×10/(4+1)','(10-1)×4-12','4/(1-10/12)']",true,17.15,0.721,13.15,6.88
"[1,4,12,12]","['(4-1)×12-12','(12/4-1)×12']",true,6.44,0.9129999999999999,6.7,2.58
"[1,5,5,5]","['(5-1/5)×5']",true,47.66,0.434,12.55,7.76
"[1,5,5,6]","['6×5-5-1','(5+1)×5-6']",true,7.6,0.951,8.16,3.15
"[1,5,5,9]","['(5+1)×(9-5)']",true,9.05,0.8859999999999999,9.18,3.72
"[1,5,5,10]","['(10-5)×5-1']",true,16.87,0.708,12.39,7.4
"[1,5,5,11]","['(11-5)×(5-1)']",true,9.97,0.877,10.09,4.23
"[1,5,5,12]","['(5/5+1)×12']",true,6.22,0.9009999999999999,6.42,2.38
"[1,5,5,13]","['13+5+5+1']",true,8.31,0.93,8.49,3.27
"[1,5,6,6]","['(6×5-6)×1']",true,6.87,0.938,7.57,3.48
"[1,5,6,7]","['6×5+1-7','(7-1)×5-6']",true,11.45,0.892,11.71,4.74
"[1,5,6,8]","['(8+1-5)×6']",true,9.12,0.905,9.26,3.93
"[1,5,6,9]","['(9-5)×6×1']",true,7.22,0.922,7.71,3.55
"[1,5,6,10]","['(5+1)×(10-6)','(10-5-1)×6']",true,7.95,0.917,8.25,3.27
"[1,5,6,11]","['(6+1)×5-11','(11-6)×5-1']",true,13.69,0.807,12.41,6.7
"[1,5,6,12]","['12+6+5+1','(5+1)×6-12','(6+1-5)×12','(12-6)×(5-1)']",true,5.77,0.986,6.15,2.04
"[1,5,6,13]","['(13+6+5)×1']",true,10.01,0.905,10.37,4.8
"[1,5,7,8]","['(7+1-5)×8','(7+1)×(8-5)']",true,6.45,0.9490000000000001,6.84,2.49
"[1,5,7,9]","['(7-1)×(9-5)']",true,11.81,0.848,11.34,4.97
"[1,5,7,10]","['7×5-10-1','(7/5+1)×10']",true,20.8,0.6970000000000001,16.68,7.9
"[1,5,7,11]","['11+7+5+1','(5+1)×(11-7)','(11+1)×(7-5)','(7×5-11)×1']",true,6,0.986,6.49,2.17
"[1,5,7,12]","['(7-5)×12×1','7×5+1-12','(12+7+5)×1','(12-7)×5-1']",true,5.35,0.983,5.89,2.1
"[1,5,7,13]","['13+7+5-1','(13-7)×(5-1)','(13-1)×(7-5)']",true,6.2,0.9790000000000001,6.59,2.12
"[1,5,8,8]","['(5-1)×8-8','(8-5)×8×1']",true,5.87,0.95,6.43,2.66
"[1,5,8,9]","['(9-5-1)×8','(9-1)×(8-5)','9/(1-5/8)']",true,6.43,0.943,6.92,2.73
"[1,5,8,10]","['10+8+5+1','(10/5+1)×8']",true,6.7,0.965,7.2,2.57
"[1,5,8,11]","['(8-1)×5-11','(11+8+5)×1']",true,12.26,0.894,12.59,5.57
"[1,5,8,12]","['(5+1)×(12-8)','(8-5-1)×12','12+8+5-1','12×8/(5-1)']",true,6.05,0.983,6.5,2.2
"[1,5,8,13]","['(13-8)×5-1']",true,13.27,0.8009999999999999,11.92,6.1
"[1,5,9,9]","['9+9+5+1']",true,7.41,0.9440000000000001,7.9,3.23
"[1,5,9,10]","['(10+9+5)×1']",true,8.35,0.9309999999999999,8.83,3.87
"[1,5,9,11]","['11+9+5-1']",true,9.14,0.9329999999999999,9.63,3.92
"[1,5,9,12]","['(5-1)×9-12','(9+1)×12/5']",true,24.56,0.627,14.7,9.06
"[1,5,9,13]","['(5+1)×(13-9)']",true,10.53,0.848,10.39,4.89
"[1,5,10,10]","['10+10+5-1']",true,6.28,0.9740000000000001,6.68,2.3
"[1,5,10,11]","['(11+1)×10/5']",true,10.29,0.8640000000000001,10.1,3.74
"[1,5,10,12]","['12×10×1/5','12/(1-5/10)']",true,6.62,0.922,7.05,3.06
"[1,5,10,13]","['(13-1)×10/5']",true,9.37,0.888,9.36,3.49
"[1,5,11,11]","['(11×11-1)/5']",true,42.99,0.436,17.17,10.45
"[1,5,11,12]","['(11-1)×12/5']",true,15.54,0.7120000000000001,11.75,6.26
"[1,5,12,12]","['12×12/(5+1)']",true,11.41,0.807,10.49,5.02
"[1,6,6,6]","['(6-1)×6-6']",true,11.03,0.858,10.51,5.12
"[1,6,6,8]","['6/(1-6/8)']",true,121.88,0.28300000000000003,23.61,15.03
